Year-Month,average-temperature,quality,no,seq,YM
2001/7,28.6,8,1,1422,2001-07-01
2001/8,27.8,8,1,1423,2001-08-01
2001/9,23.8,8,1,1424,2001-09-01
2001/10,18.4,8,1,1425,2001-10-01
2001/11,11.7,8,1,1426,2001-11-01
2001/12,6.6,8,1,1427,2001-12-01
2002/1,4.5,8,1,1428,2002-01-01
2002/2,6.2,8,1,1429,2002-02-01
2002/3,10.3,8,1,1430,2002-03-01
2002/4,15.8,8,1,1431,2002-04-01
2002/5,18.9,8,1,1432,2002-05-01
2002/6,23.1,8,1,1433,2002-06-01
2002/7,28.1,8,1,1434,2002-07-01
2002/8,28.5,8,1,1435,2002-08-01
2002/9,24.2,8,1,1436,2002-09-01
2002/10,18.1,8,1,1437,2002-10-01
2002/11,9.4,8,1,1438,2002-11-01
2002/12,6.8,8,1,1439,2002-12-01
2003/1,3.8,8,1,1440,2003-01-01
2003/2,6.0,8,1,1441,2003-02-01
2003/3,8.1,8,1,1442,2003-03-01
2003/4,14.8,8,1,1443,2003-04-01
2003/5,19.4,8,1,1444,2003-05-01
2003/6,22.9,8,1,1445,2003-06-01
2003/7,23.7,8,1,1446,2003-07-01
2003/8,27.2,8,1,1447,2003-08-01
2003/9,25.1,8,1,1448,2003-09-01
2003/10,17.1,8,1,1449,2003-10-01
2003/11,14.6,8,1,1450,2003-11-01
2003/12,7.0,8,1,1451,2003-12-01
2004/1,4.3,8,1,1452,2004-01-01
2004/2,6.1,8,1,1453,2004-02-01
2004/3,9.0,8,1,1454,2004-03-01
2004/4,15.7,8,1,1455,2004-04-01
2004/5,20.0,8,1,1456,2004-05-01
2004/6,24.4,8,1,1457,2004-06-01
2004/7,28.9,8,1,1458,2004-07-01
2004/8,27.7,8,1,1459,2004-08-01
2004/9,25.0,8,1,1460,2004-09-01
2004/10,18.5,8,1,1461,2004-10-01
2004/11,14.3,8,1,1462,2004-11-01
2004/12,8.8,8,1,1463,2004-12-01
2005/1,4.5,8,1,1464,2005-01-01
2005/2,4.9,8,1,1465,2005-02-01
2005/3,7.8,8,1,1466,2005-03-01
2005/4,15.2,8,1,1467,2005-04-01
2005/5,18.6,8,1,1468,2005-05-01
2005/6,24.5,8,1,1469,2005-06-01
2005/7,26.9,8,1,1470,2005-07-01
2005/8,28.1,8,1,1471,2005-08-01
2005/9,25.6,8,1,1472,2005-09-01
2005/10,19.2,8,1,1473,2005-10-01
2005/11,11.8,8,1,1474,2005-11-01
2005/12,3.1,8,1,1475,2005-12-01
2006/1,3.9,8,1,1476,2006-01-01
2006/2,5.5,8,1,1477,2006-02-01
2006/3,7.7,8,1,1478,2006-03-01
2006/4,13.0,8,1,1479,2006-04-01
2006/5,18.9,8,1,1480,2006-05-01
2006/6,23.6,8,1,1481,2006-06-01
2006/7,26.1,8,1,1482,2006-07-01
2006/8,29.0,8,1,1483,2006-08-01
2006/9,24.0,8,1,1484,2006-09-01
2006/10,19.8,8,1,1485,2006-10-01
2006/11,13.2,8,1,1486,2006-11-01
2006/12,7.5,8,1,1487,2006-12-01
2007/1,6.0,8,1,1488,2007-01-01
2007/2,7.4,8,1,1489,2007-02-01
2007/3,8.9,8,1,1490,2007-03-01
2007/4,14.0,8,1,1491,2007-04-01
2007/5,18.9,8,1,1492,2007-05-01
2007/6,23.0,8,1,1493,2007-06-01
2007/7,25.1,8,1,1494,2007-07-01
2007/8,29.2,8,1,1495,2007-08-01
2007/9,25.8,8,1,1496,2007-09-01
2007/10,19.0,8,1,1497,2007-10-01
2007/11,12.2,8,1,1498,2007-11-01
2007/12,7.6,8,1,1499,2007-12-01
2008/1,4.8,8,1,1500,2008-01-01
2008/2,3.6,8,1,1501,2008-02-01
2008/3,10.0,8,1,1502,2008-03-01
2008/4,15.0,8,1,1503,2008-04-01
2008/5,19.5,8,1,1504,2008-05-01
2008/6,22.5,8,1,1505,2008-06-01
2008/7,28.3,8,1,1506,2008-07-01
2008/8,27.7,8,1,1507,2008-08-01
2008/9,24.1,8,1,1508,2008-09-01
2008/10,18.8,8,1,1509,2008-10-01
2008/11,11.8,8,1,1510,2008-11-01
2008/12,7.7,8,1,1511,2008-12-01
2009/1,5.0,8,1,1512,2009-01-01
2009/2,7.1,8,1,1513,2009-02-01
2009/3,9.2,8,1,1514,2009-03-01
2009/4,15.0,8,1,1515,2009-04-01
2009/5,19.8,8,1,1516,2009-05-01
2009/6,23.4,8,1,1517,2009-06-01
2009/7,26.2,8,1,1518,2009-07-01
2009/8,27.1,8,1,1519,2009-08-01
2009/9,23.9,8,1,1520,2009-09-01
2009/10,18.4,8,1,1521,2009-10-01
2009/11,12.8,8,1,1522,2009-11-01
2009/12,7.2,8,1,1523,2009-12-01
2010/1,4.0,8,1,1524,2010-01-01
2010/2,6.5,8,1,1525,2010-02-01
2010/3,8.8,8,1,1526,2010-03-01
2010/4,13.1,8,1,1527,2010-04-01
2010/5,18.7,8,1,1528,2010-05-01
2010/6,23.9,8,1,1529,2010-06-01
2010/7,27.8,8,1,1530,2010-07-01
2010/8,29.5,8,1,1531,2010-08-01
2010/9,25.9,8,1,1532,2010-09-01
2010/10,19.2,8,1,1533,2010-10-01
2010/11,11.8,8,1,1534,2010-11-01
2010/12,7.4,8,1,1535,2010-12-01
2011/1,2.2,8,1,1536,2011-01-01
2011/2,6.3,8,1,1537,2011-02-01
2011/3,7.0,8,1,1538,2011-03-01
2011/4,13.0,8,1,1539,2011-04-01
2011/5,19.0,8,1,1540,2011-05-01
2011/6,23.9,8,1,1541,2011-06-01
2011/7,27.6,8,1,1542,2011-07-01
2011/8,28.4,5,1,1543,2011-08-01
2011/9,25.1,8,1,1544,2011-09-01
2011/10,18.7,8,1,1545,2011-10-01
2011/11,13.7,8,1,1546,2011-11-01
2011/12,6.3,8,1,1547,2011-12-01
2012/1,4.0,8,1,1548,2012-01-01
2012/2,4.0,8,1,1549,2012-02-01
2012/3,8.2,8,1,1550,2012-03-01
2012/4,14.0,8,1,1551,2012-04-01
2012/5,19.2,8,1,1552,2012-05-01
2012/6,22.5,8,1,1553,2012-06-01
2012/7,27.2,8,1,1554,2012-07-01
2012/8,28.7,8,1,1555,2012-08-01
2012/9,25.5,8,1,1556,2012-09-01
2012/10,19.0,8,1,1557,2012-10-01
2012/11,11.2,8,1,1558,2012-11-01
2012/12,5.0,8,1,1559,2012-12-01
2013/1,3.9,8,1,1560,2013-01-01
2013/2,4.5,8,1,1561,2013-02-01
2013/3,10.2,8,1,1562,2013-03-01
2013/4,13.7,8,1,1563,2013-04-01
2013/5,19.4,8,1,1564,2013-05-01
2013/6,23.9,8,1,1565,2013-06-01
2013/7,28.0,8,1,1566,2013-07-01
2013/8,29.3,8,1,1567,2013-08-01
2013/9,24.9,8,1,1568,2013-09-01
2013/10,20.2,8,1,1569,2013-10-01
2013/11,11.3,8,1,1570,2013-11-01
2013/12,6.3,8,1,1571,2013-12-01
2014/1,4.5,8,1,1572,2014-01-01
2014/2,5.2,8,1,1573,2014-02-01
2014/3,9.1,8,1,1574,2014-03-01
2014/4,14.6,8,1,1575,2014-04-01
2014/5,19.7,8,1,1576,2014-05-01
2014/6,24.3,8,1,1577,2014-06-01
2014/7,27.3,8,1,1578,2014-07-01
2014/8,27.0,8,1,1579,2014-08-01
2014/9,23.6,8,1,1580,2014-09-01
2014/10,19.0,8,1,1581,2014-10-01
2014/11,13.2,8,1,1582,2014-11-01
2014/12,5.2,8,1,1583,2014-12-01
2015/1,4.9,8,1,1584,2015-01-01
2015/2,5.5,8,1,1585,2015-02-01
2015/3,9.4,8,1,1586,2015-03-01
2015/4,15.2,8,1,1587,2015-04-01
2015/5,21.3,8,1,1588,2015-05-01
2015/6,22.6,8,1,1589,2015-06-01
2015/7,26.8,8,1,1590,2015-07-01
2015/8,28.2,8,1,1591,2015-08-01
2015/9,23.0,8,1,1592,2015-09-01
2015/10,18.2,8,1,1593,2015-10-01
2015/11,14.2,8,1,1594,2015-11-01
2015/12,9.2,8,1,1595,2015-12-01
2016/1,5.7,8,1,1596,2016-01-01
2016/2,6.3,8,1,1597,2016-02-01
2016/3,10.4,8,1,1598,2016-03-01
